Employee ID,Termdate,Total Teriminated
00-95822412,7/5/2021,1
00-42868828,6/14/2019,1
00-83197857,3/6/2021,1
00-13999315,11/6/2018,1
00-90801586,,0
00-97226012,3/29/2023,1
00-70291817,2/12/2021,1
00-31429110,4/20/2023,1
00-30868105,11/15/2021,1
00-22448136,3/30/2022,1
00-56164955,8/6/2021,1
00-71662963,1/28/2024,1
00-84093639,1/24/2018,1
00-58537831,7/29/2020,1
00-16150444,2/25/2023,1
00-41244663,9/12/2023,1
00-70855700,9/26/2021,1
00-59684848,12/8/2019,1
00-96977837,1/29/2023,1
00-81691040,9/1/2022,1
00-60929647,6/16/2024,1
00-84752529,8/6/2022,1
00-17507864,4/9/2018,1
00-52339391,10/12/2019,1
00-86125617,2/6/2018,1
00-97971488,10/27/2021,1
00-29175900,,0
00-85345555,4/9/2021,1
00-67503414,6/4/2018,1
00-39436733,1/8/2019,1
00-76238574,5/10/2021,1
00-24716857,11/16/2021,1
00-66661351,11/17/2022,1
00-89978790,11/16/2024,1
00-84252722,1/13/2018,1
00-25374874,5/30/2023,1
00-45812670,2/14/2024,1
00-49392920,4/29/2021,1
00-45351479,1/20/2019,1
00-24282218,1/25/2018,1
00-95758349,12/11/2021,1
00-60185867,3/5/2023,1
00-81182864,9/19/2024,1
00-75579548,3/13/2023,1
00-51273847,12/2/2018,1
00-20570592,,0
00-19289546,1/12/2019,1
00-26879290,6/5/2019,1
00-32162965,12/7/2018,1
00-38427073,11/1/2024,1
00-36998038,11/17/2022,1
00-97225156,11/16/2023,1
00-26240908,2/5/2018,1
00-12823170,12/14/2024,1
00-39557077,12/18/2023,1
00-17901903,12/29/2021,1
00-54349361,,0
00-99788677,9/20/2019,1
00-86644106,9/2/2022,1
00-73481353,3/16/2018,1
00-23009833,1/17/2023,1
00-65177213,12/12/2022,1
00-97705310,9/26/2024,1
00-64038913,3/31/2023,1
00-35714784,6/16/2018,1
00-66623995,5/16/2021,1
00-20117988,9/21/2019,1
00-16789850,6/7/2023,1
00-11980765,4/29/2019,1
00-64547971,3/5/2021,1
00-63826716,12/11/2023,1
00-10289289,7/20/2024,1
00-71070189,8/27/2023,1
00-84593961,5/6/2023,1
00-35487660,5/6/2018,1
00-82772208,11/17/2016,1
00-16729990,7/30/2024,1
00-81286543,5/28/2018,1
00-34941004,,0
00-41568532,6/23/2020,1
00-87701200,12/3/2020,1
00-66267415,11/6/2024,1
00-52462441,6/29/2024,1
00-52169044,3/6/2021,1
00-96637649,2/6/2024,1
00-19736572,,0
00-23419256,9/10/2016,1
00-45594597,3/10/2020,1
00-42787299,3/12/2020,1
00-82909480,1/11/2023,1
00-97775215,7/30/2022,1
00-84437458,4/20/2023,1
00-28024248,2/11/2021,1
00-84252420,9/27/2022,1
00-38270233,7/15/2022,1
00-95125977,2/11/2018,1
00-43704923,10/9/2023,1
00-95132217,9/3/2024,1
00-10475894,7/16/2019,1
00-45159040,2/2/2021,1
00-67403166,2/25/2021,1
00-30005727,7/27/2020,1
00-84158663,,0
00-51373735,4/25/2021,1
00-38195995,12/17/2022,1
00-57469942,2/22/2018,1
00-30743797,1/20/2019,1
00-31810617,10/23/2024,1
00-13326769,6/6/2018,1
00-65259205,8/10/2023,1
00-43308443,12/19/2024,1
00-61343880,9/17/2023,1
00-36786211,1/12/2024,1
00-50962024,5/23/2018,1
00-13176186,5/18/2023,1
00-47393469,4/24/2024,1
00-96098221,8/30/2020,1
00-81969657,4/7/2022,1
00-45059710,6/12/2019,1
00-24549543,7/12/2020,1
00-52101056,8/26/2019,1
00-61700055,11/18/2023,1
00-15957459,5/30/2023,1
00-82269803,3/21/2023,1
00-36445607,8/25/2021,1
00-54318698,2/26/2022,1
00-26726926,9/29/2022,1
00-51511484,5/10/2023,1
00-49682169,9/6/2020,1
00-99245317,6/25/2019,1
00-33357554,4/11/2022,1
00-83542887,4/30/2018,1
00-38210242,7/15/2019,1
00-97873101,2/4/2022,1
00-38682516,5/13/2021,1
00-98429450,10/20/2021,1
00-94951883,4/27/2022,1
00-41523529,10/16/2022,1
00-36726767,4/1/2024,1
00-73771720,7/10/2021,1
00-65625330,9/7/2023,1
00-61536717,7/13/2020,1
00-98054615,4/8/2023,1
00-67062156,11/22/2021,1
00-72350830,7/25/2018,1
00-26288475,8/20/2024,1
00-81287314,3/22/2019,1
00-69401199,3/17/2022,1
00-67276174,3/13/2018,1
00-31361812,3/14/2023,1
00-44788100,10/24/2022,1
00-79967676,8/24/2020,1
00-69038700,,0
00-46468984,5/13/2024,1
00-28572252,11/6/2022,1
00-30509175,5/19/2023,1
00-64707061,12/13/2018,1
00-18357162,,0
00-88393811,9/19/2024,1
00-87267850,5/5/2019,1
00-50079111,6/9/2024,1
00-83300637,11/7/2023,1
00-39450273,,0
00-62191530,9/15/2018,1
00-64266464,12/31/2022,1
00-93517915,12/22/2020,1
00-85751409,9/13/2022,1
00-67527432,12/17/2021,1
00-16749089,9/24/2021,1
00-71028710,5/23/2021,1
00-66581473,5/7/2024,1
00-12601580,12/27/2022,1
00-40094589,5/25/2023,1
00-14164775,12/26/2024,1
00-12735359,2/16/2022,1
00-73560289,12/18/2022,1
00-72415804,1/12/2023,1
